,Make,Seller,YearOfProd,Mileage (km),Color,Fuel,FuelCinCity,Gearbox,EngineVol (cm3),Horsepower,Post-accident,Seats,Doors,Price
2216,Volkswagen,Company,2005,223000,Else,Petrol,8,,1598,115,0.0,5,5,3747.18
2217,Renault,Private person,2014,76710,Gray,Petrol,"6,50",Manual,1197,116,,5,5,8058.69
2218,Lancia,Private person,2008,236700,Black,Diesel,5,Automatic,1598,120,0.0,5,5,4221.22
2219,Hummer,Private person,2005,200000,Claret,Petrol+LPG,,,5967,325,,6,5,19593.68
2220,Kia,Private person,2008,122000,Else,Petrol,,Manual,1998,144,0.0,5,5,4492.1
2221,Seat,Private person,2002,355580,Else,Diesel,6,Manual,1896,150,0.0,5,5,3273.14
2222,Toyota,Private person,2016,157491,White,Diesel,5,,1995,143,,5,5,17268.62
2223,Volvo,Private person,2018,151000,White,Diesel,,Automatic,1969,190,0.0,5,5,30361.17
2224,Fiat,Private person,2015,82000,White,Petrol,6,Manual,1242,69,0.0,5,5,6297.97
2225,Ford,Private person,2010,144000,Black,Petrol,,Manual,1596,100,0.0,5,5,4492.1
2226,Seat,Private person,2009,154300,Black,,6,,1968,,,5,5,6726.86
2227,BMW,Private person,2007,260000,Gray,Diesel,8,,1995,163,0.0,5,5,5620.77
2228,Hyundai,Company,2021,19000,Claret,Petrol,,Manual,1598,150,0.0,5,5,27268.62
2229,Audi,Private person,2014,164000,White,Petrol,"8,50",,1984,225,,5,5,16591.42
2230,Hyundai,Private person,2015,44000,Claret,Petrol,,Manual,1591,132,0.0,5,4,10361.17
2231,Audi,Private person,2009,300000,Brown,Diesel,,,2967,240,0.0,5,5,12618.51
2232,Dodge,Private person,2007,246000,Black,Diesel,12,,2776,177,,5,5,6749.44
2233,Volkswagen,Company,2019,244000,Black,Diesel,,Automatic,1968,150,0.0,5,4,18036.12
2234,Skoda,Private person,2016,65000,Blue,Petrol,6,Manual,1197,90,0.0,5,5,9704.29
2235,Renault,Private person,2009,205000,Black,Petrol,"10,90",,1998,180,0.0,5,5,5846.5
2236,Renault,Private person,2009,222748,Gray,Petrol,"9,40",Manual,1598,110,0.0,5,5,4717.83
2237,Audi,Private person,2019,28800,Gray,Petrol,,Automatic,1984,245,0.0,5,5,41083.52
2238,Skoda,Company,2018,208000,Black,Diesel,,,1968,150,,5,5,17133.18
2239,Ford,Private person,2020,108903,Else,Diesel,,,1997,,0.0,5,5,21083.52
2240,Skoda,Company,2018,208000,Black,Diesel,,,1968,150,,5,5,17133.18
2241,Ford,Private person,2020,108903,Else,Diesel,,,1997,,0.0,5,5,21083.52
2242,Ford,Company,2016,168000,Black,Diesel,6,,1997,180,,5,5,17133.18
2243,Ford,Company,2012,239000,Brown,Diesel,"5,10",,1560,115,,5,5,6523.7
2244,Skoda,Company,2016,192000,Gray,Diesel,,,1968,190,,5,5,16681.72
2245,Ford,Company,2012,228000,Gray,Diesel,"5,10",,1560,115,,5,5,6523.7
2246,BMW,Private person,2022,30000,White,Diesel,,Automatic,1995,190,0.0,5,5,52198.65
2247,Peugeot,Company,2016,170000,Black,Diesel,"4,70",,1560,120,,5,5,9458.24
2248,Ford,Company,2012,206000,Red,Petrol,7,,1596,150,,5,5,6749.44
2249,Audi,Private person,2008,169500,Silver,Petrol,9,,1798,,,5,3,5643.34
2250,Honda,Private person,2006,157000,Red,,,,1339,,,5,5,2257.11
2251,Peugeot,Private person,2006,202300,Brown,Petrol,10,Manual,1749,125,0.0,5,4,2686.23
2252,Audi,Company,2017,63500,Black,Petrol,13,,3993,450,,5,4,26614.0
2253,Mercedes-Benz,Private person,2016,123000,Gray,Petrol,"7,40",,1991,184,,5,5,20970.65
2254,Renault,Private person,2016,100576,Else,Petrol,,,1197,130,0.0,5,5,14220.99
2255,Mercedes-Benz,Private person,2019,78000,White,Diesel,"4,20",Automatic,1461,116,,5,4,30699.77
2256,Audi,Private person,2002,248658,Silver,Petrol+LPG,9,,1984,150,,5,4,3047.4
2257,BMW,Private person,2008,244000,Gray,Diesel,"7,70",Automatic,1995,177,0.0,5,5,6771.78
2258,BMW,Private person,2022,4000,White,Petrol,,Automatic,1499,136,0.0,5,5,38036.12
2259,MINI,Private person,2020,21000,Else,Petrol,,,1499,136,0.0,4,3,20293.45
2260,Mercedes-Benz,Private person,2017,35000,Blue,Petrol,10,,2996,367,,5,5,58465.01
2261,Ford,Private person,2007,380000,Silver,Diesel,7,,1753,125,,7,5,3611.51
2262,Jeep,Private person,2007,220192,Silver,Diesel,13,,2987,218,0.0,7,5,10158.01
2263,Volvo,Company,2018,145000,Black,Diesel,,Automatic,1969,190,0.0,5,5,20270.88
2264,Suzuki,Private person,2011,130000,Silver,,"4,90",,1242,,,,5,4943.57
2265,Jaguar,Private person,2010,280000,Black,Diesel,9,,2993,,0.0,5,4,10835.21
2266,Mazda,Private person,2005,127000,Green,,11,,1999,,,5,4,5124.15
2267,Porsche,Company,2022,5300,Silver,Petrol,,Automatic,3995,420,0.0,2,2,128275.4
2268,BMW,Private person,2016,191100,Black,Diesel,5,Automatic,1995,190,0.0,5,5,18487.58
2269,Renault,Private person,2011,172000,Gray,Diesel,"6,30",Manual,1995,150,,5,5,6726.86
2270,Dacia,Private person,2014,177500,Silver,Diesel,,,1461,109,,5,5,7629.8
2271,Mazda,Private person,2008,359100,Else,,6,,1998,,,5,5,4740.41
2272,BMW,Private person,2016,191100,Black,Diesel,5,Automatic,1995,190,0.0,5,5,18487.58
2273,Renault,Private person,2011,172000,Gray,Diesel,"6,30",Manual,1995,150,,5,5,6726.86
2274,Dacia,Private person,2014,177500,Silver,Diesel,,,1461,109,,5,5,7629.8
2275,Mazda,Private person,2008,359100,Else,,6,,1998,,,5,5,4740.41
2276,Volkswagen,Private person,2012,210404,Black,,6,,1968,,,5,5,10135.44
2277,Mercedes-Benz,Private person,2016,94000,Else,Petrol,8,Automatic,1991,184,0.0,5,4,26839.73
2278,Skoda,Company,2023,5,Black,Diesel,,Automatic,1968,200,0.0,5,5,44920.99
2279,Opel,Private person,2011,249999,Black,Diesel,"5,50",,1686,,,5,5,5304.51
2280,Skoda,Company,2023,5,White,Petrol,,,1984,190,0.0,5,5,43476.3
2281,Audi,Company,2022,5,Blue,Petrol,9,Automatic,1984,265,0.0,5,5,54176.07
2282,Skoda,Private person,2014,122077,White,Petrol,,Manual,1197,105,0.0,5,5,7787.81
2283,BMW,Private person,2005,272000,Black,Petrol,,,2497,218,0.0,5,4,7200.9
2284,Jeep,Private person,2018,79122,Black,Petrol,,Manual,1368,140,0.0,5,5,16523.7
2285,Peugeot,Private person,2015,257217,Black,Diesel,5,Automatic,1997,180,,5,5,12415.35
2286,Ford,Private person,2012,183000,Silver,Diesel,5,,1560,115,,5,5,6320.54
2287,Ford,Private person,2010,114930,Blue,Petrol,7,Manual,1242,82,0.0,5,3,5598.19
2288,Mitsubishi,Private person,2012,148000,White,Petrol,7,,1590,,,5,5,9932.05
2289,Volvo,Private person,2017,199000,White,Diesel,4,,1969,120,0.0,5,5,13521.44
2290,Volkswagen,Private person,2004,262300,Blue,Petrol,8,Manual,1598,115,0.0,5,5,2595.94
2291,Toyota,Private person,2017,169000,White,Petrol,,,998,,,4,5,7200.9
2292,Hyundai,Private person,2018,84277,Red,Petrol,,,1591,,,5,4,16455.98
2293,Seat,Private person,2011,99960,Silver,Petrol,,,1390,,,5,5,6038.37
2294,Renault,Private person,2012,161000,Silver,Petrol,,,1598,110,,5,4,4875.85
2295,Bentley,Private person,2014,169000,Else,Petrol,15,,3993,507,,5,4,85553.05
2296,Hyundai,Private person,2014,142800,Silver,Petrol,"7,90",Manual,1396,99,0.0,5,5,8690.74
2297,Renault,Private person,2017,130000,Claret,Diesel,4,,1461,110,0.0,5,5,13521.44
2298,BMW,Private person,1999,210000,Silver,,,,1665,,,,3,1715.58
2299,Peugeot,Private person,2015,152000,White,Diesel,5,,1997,,,5,5,13295.71
2300,Volkswagen,Private person,2009,82983,Black,Petrol,10,Manual,1390,150,0.0,5,5,9029.12
2301,Opel,Private person,2005,197000,Else,Petrol+LPG,10,,1796,125,,5,3,3273.14
2302,Volkswagen,Private person,2015,145400,White,Diesel,"4,40",,1598,110,,5,5,12844.24
2303,Renault,Private person,2007,240000,Gray,Diesel,"8,80",Manual,1995,175,0.0,7,5,3950.34
2304,Chevrolet,Company,2019,24000,White,Petrol,,Automatic,6162,466,0.0,2,2,83295.71
2305,Mercedes-Benz,Company,2009,68000,Black,Petrol,,Automatic,3498,316,0.0,2,2,44018.06
2306,Hyundai,Private person,2010,159600,Black,Petrol,7,,1396,,,5,5,5169.3
2307,BMW,Private person,2017,75000,Black,Diesel,4,,1995,190,0.0,5,4,32708.8
2308,Jeep,Private person,2015,165500,Gray,Petrol,14,,3604,286,,5,5,21557.56
2309,Dodge,Private person,2020,8000,Blue,Petrol,,,6417,492,,5,4,51896.16
2310,Subaru,Private person,2018,100500,Gray,Petrol,11,,1995,,,5,5,22347.63
2311,Ford,Private person,2012,158000,Black,Diesel,9,Automatic,2179,200,,7,5,9819.41
2312,Ford,Private person,2009,303000,Else,Diesel,6,,1753,115,0.0,5,5,2370.2
2313,Nissan,Company,2007,178100,Gray,Petrol,,Manual,1598,115,0.0,5,5,5846.5
2314,Opel,Private person,2017,160151,White,Diesel,"7,30",,1956,170,0.0,5,5,18036.12
2315,Ford,Private person,2014,82000,Blue,Petrol,"5,40",Manual,998,101,0.0,5,5,6997.52
2316,Volkswagen,Private person,2019,78000,Gray,Petrol,,Manual,999,115,0.0,5,5,11735.89
2317,Audi,Private person,2001,134921,Silver,,,,1595,,,5,5,2686.23
2318,Mazda,Private person,2020,38000,Else,,,,1998,,,,5,17832.96
2319,Ford,Private person,2018,182000,White,Diesel,5,Automatic,1997,180,0.0,5,5,18487.58
2320,Peugeot,Private person,2009,272200,Else,Diesel,"6,70",,1560,,0.0,5,5,4966.14
2321,Opel,Private person,2019,97000,Else,Petrol,6,,1399,,,5,5,13205.42
2322,Renault,Private person,2012,101000,Silver,Petrol,"10,10",,1598,,0.0,5,5,8013.54
2323,Chevrolet,Private person,2006,301000,Else,,8,,1991,,,,5,4492.1
2324,Skoda,Private person,2018,89300,Black,Petrol,,Automatic,1984,190,0.0,5,5,18487.58
2325,Volvo,Private person,2018,75000,Gray,Petrol,8,,1969,245,,5,4,15688.49
2326,Opel,Private person,2006,240000,White,Diesel,"6,10",,1248,75,0.0,2,4,2234.76
2327,Audi,Private person,2005,384000,Black,Diesel,7,,1896,115,,5,5,3589.16
2328,Renault,Private person,2016,140000,Gray,Diesel,4,,1461,81,0.0,4,5,13273.14
2329,Nissan,Private person,2011,209000,Gray,Diesel,8,Manual,1995,150,0.0,5,5,7878.1
2330,Opel,Private person,2013,164000,White,Diesel,5,,1686,,,5,5,10045.15
2331,Mercedes-Benz,Private person,2010,114670,Brown,Petrol,"10,50",Manual,1796,184,0.0,5,5,10993.23
2332,Citroën,Private person,2008,200000,Gray,Petrol,12,Manual,1997,140,0.0,5,5,5756.21
2333,BMW,Private person,2011,188000,Black,Diesel,"5,60",,1995,143,0.0,5,5,7110.61
2334,Subaru,Private person,2006,269400,Silver,Petrol,14,Manual,2457,230,0.0,5,5,6663.66
2335,Mitsubishi,Private person,2005,196000,Else,Petrol,7,Manual,1332,95,0.0,5,5,2144.47
2336,Audi,Private person,2010,188000,Black,Petrol,"8,70",Manual,1798,160,0.0,5,3,6884.88
2337,Skoda,Private person,2019,60000,White,Diesel,,Automatic,1968,190,0.0,5,5,28194.13
2338,Mercedes-Benz,Private person,2017,87000,Black,Petrol,,Automatic,1991,381,0.0,5,,36117.38
2339,Hyundai,Private person,2015,66000,Gray,Diesel,5,Manual,1995,136,0.0,5,5,17381.49
2340,Volkswagen,Private person,2018,56000,Green,Diesel,"5,90",Automatic,1968,184,0.0,5,5,26388.26
2341,Honda,Private person,2007,179722,Silver,Petrol,9,,1799,140,,5,5,5869.07
2342,Suzuki,Private person,2012,66500,Gray,Petrol,6,,1242,94,,4,3,5643.12
2343,Opel,Company,2013,194000,Silver,Petrol,8,Manual,1364,140,0.0,5,5,7426.64
2344,Volkswagen,Private person,2004,272900,Black,Petrol+LPG,"11,20",Manual,1598,102,0.0,5,5,5191.87
2345,Ford,Private person,2013,130000,Brown,Diesel,4,,1560,95,0.0,5,5,6094.58
2346,Renault,Private person,2015,149000,Else,Petrol,,Automatic,1618,200,0.0,7,5,16907.45
2347,Volkswagen,Private person,2008,206000,White,Petrol,10,,1984,,,,3,7562.08
2348,Opel,Private person,2019,87996,Else,Diesel,,Manual,1956,170,,5,5,19571.11
2349,Smart,Private person,2009,108700,Black,Petrol,6,Automatic,999,84,0.0,2,2,4401.81
2350,Volvo,Private person,2015,138000,White,Diesel,5,Automatic,1969,150,,5,5,12392.78
2351,BMW,Company,2016,161654,Gray,Petrol,,Manual,1499,136,0.0,5,5,13521.22
2352,Renault,Private person,2007,149000,Else,Petrol,"7,60",,1149,75,0.0,5,5,3047.4
2353,Audi,Private person,2014,199000,Gray,Diesel,6,Automatic,2967,204,0.0,5,5,33634.31
2354,Peugeot,Private person,2015,217000,Black,Diesel,"5,60",Automatic,2179,204,,5,5,12392.78
2355,Ford,Company,2013,163000,White,Diesel,7,,1997,140,,5,5,11715.58
2356,Volvo,Private person,2007,260000,Silver,Diesel,6,,1560,,,4,3,3272.91
2357,Audi,Private person,2019,209700,Gray,Petrol,7,Automatic,1984,190,0.0,5,5,29119.64
2358,Seat,Private person,2013,212500,White,,6,,1395,,,,5,9706.55
2359,Renault,Private person,2009,112000,Red,Diesel,"4,10",,1461,75,0.0,4,3,2257.11
2360,Volvo,Private person,2005,233000,Silver,Diesel,6,Manual,1998,136,0.0,5,5,3137.7
2361,Volkswagen,Private person,2013,224000,Black,Diesel,7,Manual,1968,140,,5,5,10812.64
2362,Audi,Private person,2019,54000,Else,Petrol,10,,1984,252,,5,5,22528.22
2363,Mercedes-Benz,Company,2017,292000,Black,Petrol,"9,30",,1991,184,,5,5,14650.11
2364,Opel,Private person,2016,221000,Silver,Diesel,6,,1598,136,,5,5,8329.57
2365,Audi,Company,2021,5000,White,Petrol,,Automatic,1984,265,0.0,5,5,54153.5
2366,Mercedes-Benz,Company,2022,5,Black,Petrol,,Automatic,1332,163,0.0,,4,51918.74
2367,Ford,Private person,2012,204000,White,Diesel,8,,1997,,,5,5,11038.37
2368,Ford,Private person,2012,204000,White,Diesel,8,,1997,,,5,5,11038.37
2369,Volkswagen,Private person,2018,75580,White,Diesel,,Automatic,1968,150,0.0,7,5,27065.46
2370,Renault,Private person,2012,134800,White,Petrol,9,Manual,1598,100,0.0,5,5,6297.97
2371,Nissan,Private person,2012,190000,White,Diesel,"5,80",Manual,1461,110,0.0,5,5,8329.57
2372,Mazda,Private person,2014,175000,White,Petrol,7,Manual,1998,165,,5,5,14424.15
2373,Skoda,Private person,2009,260000,Else,Diesel,6,Manual,1896,105,,5,5,5101.58
2374,Kia,Company,2016,77000,Brown,Petrol,,Manual,1591,132,0.0,5,5,17153.5
2375,Mercedes-Benz,Company,2009,140000,Black,Petrol,"8,80",Automatic,1796,184,0.0,5,4,12821.67
2376,Mazda,Private person,2016,99999,Red,Petrol,8,Automatic,1998,160,,5,5,14424.38
2377,Skoda,Private person,2016,47000,Gray,Petrol,6,Manual,1395,150,0.0,5,5,17810.38
2378,Nissan,Private person,2010,190000,Else,Petrol,10,Manual,1997,140,0.0,5,5,9006.77
2379,Toyota,Private person,2010,230890,White,,6,,1998,,,5,4,5169.3
2380,Volkswagen,Private person,2011,389000,Gray,Diesel,"9,50",,1968,140,,6,4,8781.04
2381,BMW,Private person,2010,246000,Else,Diesel,"5,90",,1995,184,,5,5,11264.11
2382,Audi,Private person,2018,159800,Black,Diesel,,Automatic,2967,286,0.0,5,5,49661.17
2383,Renault,Private person,2012,90150,Silver,,7,,1149,,,,4,3386.0
2384,Audi,Company,2022,,Red,Petrol,,Automatic,1984,245,0.0,2,2,61301.35
2385,BMW,Private person,2012,192344,Black,Diesel,5,,1995,115,,5,5,7200.9
2386,Audi,Company,2022,,Blue,Petrol,,Automatic,1984,245,0.0,2,2,54767.27
2387,Kia,Private person,2005,287977,Brown,Diesel,,,1991,112,,5,5,5079.01
2388,Mitsubishi,Private person,2009,128400,Blue,Petrol,11,Automatic,1798,143,0.0,5,5,6523.7
2389,Toyota,Private person,2010,163000,Blue,Petrol,,,1798,,,5,5,4853.27
2390,Mitsubishi,Private person,2015,130000,Black,Petrol+LPG,7,Manual,1590,117,0.0,5,5,11512.19
2391,Audi,Private person,2011,228000,Black,Diesel,9,Manual,2698,190,,5,5,9932.28
2392,Citroën,Private person,2018,122515,White,Diesel,,,1560,,,2,5,5124.15
2393,Seat,Private person,2015,175000,Gray,Petrol,7,Manual,1798,180,0.0,5,5,14424.38
2394,Mazda,Private person,2017,130000,Red,Petrol,7,Manual,1998,165,0.0,5,5,18735.89
2395,Audi,Private person,2009,299000,Black,Diesel,"9,40",,2698,190,,5,4,8307.0
2396,Mercedes-Benz,Private person,2017,69800,Black,Diesel,"5,70",Automatic,1950,194,0.0,5,4,30677.2
2397,Ford,Private person,2017,140000,Gray,,5,,998,,,,5,6771.78
2398,BMW,Private person,2021,29600,Else,Diesel,,Automatic,1995,190,0.0,5,5,46252.82
2399,Peugeot,Private person,2017,135567,Brown,,4,,1560,,,,5,19841.99
2400,BMW,Private person,2011,169100,Black,Diesel,6,Manual,1995,143,0.0,5,5,11264.11
2401,Mercedes-Benz,Private person,2018,74000,Black,Petrol,8,Automatic,1991,211,0.0,5,5,41738.15
2402,Mercedes-Benz,Private person,2017,92000,Gray,Petrol,,Manual,1595,156,0.0,5,5,22550.79
2403,Citroën,Private person,2015,131000,Gray,Diesel,4,Manual,1997,150,0.0,7,5,13656.88
2404,Volkswagen,Private person,2006,253600,Black,Diesel,8,,1968,,,5,5,4492.1
2405,Toyota,Private person,2018,186550,Brown,Petrol,,Manual,1598,132,0.0,5,5,10541.76
2406,Citroën,Private person,2016,66600,Silver,Diesel,,Automatic,1560,120,,5,5,13299.55
2407,Renault,Private person,2018,28580,Black,Petrol,"7,20",Manual,1149,73,0.0,5,5,9525.96
2408,BMW,Private person,2020,46700,Else,Diesel,,,1995,190,,5,5,21873.59
2409,Nissan,Private person,2018,87500,Brown,Petrol,,Manual,1197,115,0.0,5,5,17042.89
2410,Honda,Private person,2006,239980,Red,Petrol,8,Manual,1799,140,0.0,5,4,4356.66
2411,BMW,Private person,2003,184000,Else,Petrol,13,Automatic,2979,231,0.0,5,5,5395.03
2412,BMW,Private person,2018,64400,Silver,Diesel,7,Automatic,2993,313,0.0,,5,45146.73
2413,Ford,Private person,2007,294000,Else,Diesel,6,,1560,90,,5,5,2370.2
2414,Mercedes-Benz,Company,2023,2,White,Diesel,,Automatic,1993,197,0.0,,5,67889.39
2415,Audi,Private person,2012,259000,White,Diesel,6,Manual,1968,177,0.0,5,5,12144.47
2416,Suzuki,Private person,2009,298000,White,,14,,3195,,,5,5,6072.23
2417,Lexus,Private person,2016,151132,Red,,"16,80",,1998,,,5,4,23702.03
2418,Volkswagen,Private person,2009,179000,Else,Diesel,7,Manual,1968,170,0.0,5,5,10722.35
2419,Nissan,Private person,2009,185125,Red,Petrol,10,Automatic,1997,140,0.0,5,5,10088.04
2420,Citroën,Company,2017,13500,Else,Petrol,5,Manual,998,69,,4,5,7562.08
2421,Mercedes-Benz,Private person,2016,82600,Black,Diesel,5,Automatic,2143,170,0.0,5,5,32483.07
2422,BMW,Private person,2015,100500,Gray,Petrol,"11,10",Automatic,2979,431,0.0,5,4,51918.74
2423,Nissan,Private person,2018,45000,White,Diesel,,,1461,,,5,5,19164.79
2424,Audi,Private person,2010,167500,Brown,Petrol,"6,70",,1197,105,,5,3,5191.87
2425,BMW,Private person,2017,131000,Black,Diesel,5,Automatic,1995,150,0.0,5,5,17155.76
2426,Ford,Private person,2016,59000,White,Petrol,10,,1999,240,,5,4,13769.75
2427,Opel,Private person,2020,70808,Blue,Petrol,"6,30",Automatic,1342,145,0.0,5,5,16478.33
2428,Fiat,Private person,2009,254054,Black,Petrol,,,1368,120,0.0,5,5,3814.9
2429,Toyota,Private person,2018,104500,Black,Petrol,6,Manual,1197,116,,5,5,16230.25
2430,Audi,Private person,2009,290000,Else,Diesel,"9,40",Automatic,2698,190,0.0,5,5,7878.1
2431,Opel,Company,2004,109063,Green,Petrol,7,Manual,1199,75,0.0,5,5,2167.04
2432,Peugeot,Private person,2012,248800,Blue,Diesel,"5,90",Manual,1560,114,0.0,5,5,7200.9
2433,Ford,Private person,2013,150000,Else,Petrol,5,Manual,998,125,0.0,5,5,6897.29
2434,BMW,Private person,2008,352000,Silver,Diesel,7,Manual,1995,143,0.0,5,5,5191.87
2435,Mercedes-Benz,Private person,2019,58500,Gray,Petrol,15,Automatic,3982,639,0.0,4,5,157787.81
2436,BMW,Private person,2022,21000,Green,Petrol,,Automatic,2998,374,0.0,5,5,83521.44
2437,Mercedes-Benz,Private person,2005,182000,Else,Petrol,14,,1796,163,0.0,5,4,5282.17
2438,Citroën,Private person,2012,215813,Gray,Diesel,,Automatic,1997,163,0.0,5,5,10474.04
2439,Volkswagen,Private person,2016,115000,Black,Petrol,7,Manual,1395,125,0.0,5,5,14198.65
2440,Volkswagen,Private person,2019,67000,Blue,Petrol,,Manual,1498,150,0.0,5,5,20067.72
2441,Kia,Private person,2018,27522,Yellow,Petrol,,Manual,1368,100,0.0,5,5,15778.78
2442,Audi,Private person,2012,260000,Silver,,7,,2967,,,,5,16455.98
2443,Opel,Private person,2017,150200,Silver,Petrol,5,Manual,998,105,0.0,5,5,9683.97
2444,BMW,Private person,2008,227000,Black,Diesel,8,,2993,,,5,5,8103.84
2445,BMW,Private person,2011,161000,Black,Diesel,"6,70",,1995,184,0.0,5,5,13295.71
2446,Volkswagen,Private person,2012,140000,Blue,Petrol,8,Manual,1390,80,0.0,5,5,6771.78
2447,Toyota,Private person,2011,190000,Claret,Petrol,6,Manual,1329,99,0.0,5,5,7404.06
2448,AlfaRomeo,Private person,2009,94469,Else,Petrol,"7,70",,1368,95,0.0,4,3,6433.41
2449,Citroën,Private person,2010,95000,Gray,Petrol,8,Manual,1360,73,0.0,5,5,4514.45
2450,Audi,Private person,2003,295209,Black,Diesel,7,,1968,,,5,3,3498.87
2451,Ford,Private person,2020,27500,Red,Petrol,,Automatic,1997,245,,5,5,28194.13
2452,Opel,Private person,2010,136000,Blue,Petrol,6,,1229,70,0.0,4,5,3589.16
2453,Mercedes-Benz,Private person,2022,4000,Black,Petrol,16,,3982,585,0.0,,5,293453.72
2454,Jeep,Private person,2021,18000,Black,Petrol,,,6417,468,,5,5,47404.06
2455,Porsche,Private person,2022,26000,Black,Electric,,Automatic,,571,0.0,4,5,126185.1
2456,Audi,Private person,2011,216000,White,Diesel,"6,10",,1968,,,5,5,9232.51
2457,Peugeot,Private person,2008,189000,Gray,Petrol,8,,1397,95,0.0,,5,3092.55
2458,Opel,Private person,2004,182000,Black,Petrol,9,,1598,100,0.0,5,5,2234.76
2459,Mazda,Private person,2018,170000,Gray,Petrol,,Manual,1998,165,0.0,5,5,17584.65
2460,Mitsubishi,Private person,2015,189267,White,Diesel,5,Manual,1798,150,0.0,5,5,11941.31
2461,Kia,Private person,2011,67000,Brown,Petrol,,Manual,1396,90,0.0,5,5,6320.54
2462,Audi,Private person,2013,326500,Black,Diesel,"6,10",,1968,177,,5,5,12979.68
2463,Opel,Private person,2009,310000,Black,,6,,1956,,,,5,4266.37
2464,Mercedes-Benz,Private person,2002,219000,Blue,Diesel,8,Manual,2148,143,,5,4,2821.67
2465,Volkswagen,Company,2016,93000,Else,,6,,1968,,,5,5,10586.91
2466,Skoda,Private person,2015,227200,Silver,Diesel,4,Manual,1422,105,0.0,5,5,5846.5
2467,BMW,Company,2022,2,Black,Diesel,,,1995,190,0.0,,5,57607.22
2468,Lexus,Private person,2015,92000,Blue,Petrol,,Automatic,1998,238,0.0,5,5,23024.83
2469,Mercedes-Benz,Private person,2004,224000,Gray,Diesel,"8,30",Automatic,3222,204,,,4,5846.5
2470,Renault,Private person,2018,30000,Black,Petrol,6,,1197,,,5,5,15237.02
2471,BMW,Private person,2017,82000,Black,Diesel,"3,90",Manual,1496,116,,5,5,14221.22
2472,Volkswagen,Private person,2004,250000,Black,Diesel,,,1896,,,5,5,744.92
2473,Volkswagen,Private person,2019,125000,Brown,Diesel,,Automatic,3956,422,0.0,,,96546.28
2474,Skoda,Private person,2011,262148,Silver,Diesel,,Manual,1598,105,0.0,5,5,4717.83
2475,BMW,Private person,2006,220000,Red,Petrol,10,Manual,1995,150,0.0,5,5,4198.65
2476,Peugeot,Private person,2014,119900,Brown,Petrol,7,Manual,1598,125,0.0,5,5,6275.4
2477,Mercedes-Benz,Private person,2010,182000,Brown,Diesel,10,Automatic,2987,235,0.0,5,4,20203.16
2478,Ford,Private person,2010,263100,White,Petrol,,,4605,292,,5,5,9027.09
2479,Audi,Private person,2014,183000,Black,Diesel,,,1598,,,5,5,10361.17
2480,Jaguar,Private person,1995,260000,Black,,,,3980,,,5,2,20090.29
2481,Peugeot,Private person,2018,36500,Blue,Petrol,,Manual,1199,110,0.0,5,5,14525.96
2482,Volkswagen,Private person,2017,160000,White,Diesel,,Automatic,1968,150,0.0,5,5,22347.63
2483,Hyundai,Private person,2016,82700,Gray,,,,1591,,,5,5,16681.72
2484,Audi,Private person,2019,51850,White,Petrol,9,Automatic,1984,245,0.0,5,5,38803.61
2485,Audi,Company,2018,189000,Red,Diesel,,,1968,190,0.0,5,5,21173.81
2486,Renault,Private person,2016,35476,Else,Petrol,,,898,90,,5,5,10609.26
2487,Volkswagen,Private person,2012,157000,Else,Petrol,"7,30",,1198,,,5,5,7155.76
2488,Ford,Private person,2016,107540,Blue,Petrol,,,998,100,0.0,5,5,7652.37
2489,Kia,Private person,2013,169000,White,Petrol,6,,1396,100,0.0,5,5,8013.54
2490,Mercedes-Benz,Private person,2014,219074,White,Petrol,,Automatic,1796,183,0.0,5,5,15801.13
2491,Porsche,Private person,2015,109950,Black,Diesel,7,Automatic,2967,262,0.0,5,5,42869.53
2492,AlfaRomeo,Private person,2005,133424,Black,Petrol,12,Automatic,1970,150,0.0,5,3,2979.68
2493,Ford,Private person,2016,110300,Blue,Petrol,"6,70",Manual,998,125,0.0,5,5,10135.44
2494,Ford,Private person,2012,184200,Black,Diesel,6,Manual,1997,140,0.0,5,5,7832.96
2495,Honda,Private person,2008,171629,Black,Petrol,,Manual,1799,140,0.0,6,5,5169.3
2496,Ford,Company,2010,236000,Gray,Diesel,,Manual,1560,109,0.0,5,5,4040.63
2497,Renault,Private person,2007,201000,Silver,Diesel,"6,10",,1461,,,5,5,3679.46
2498,Honda,Private person,2009,194000,Black,Petrol,8,Manual,1799,140,0.0,5,5,7652.37
2499,Audi,Private person,2018,49990,White,Diesel,,Automatic,1968,204,0.0,5,4,41647.86
2500,Volkswagen,Private person,2016,160000,Black,,6,,1968,,,5,5,15349.89
2501,Audi,Private person,2014,135100,Black,Diesel,8,,2967,204,,5,5,21422.12
2502,BMW,Private person,2007,403000,Else,,8,,2993,,,5,5,5530.47
2503,Audi,Private person,2002,157000,Blue,Petrol,9,Manual,1781,150,0.0,5,4,4943.57
2504,Kia,Private person,2009,115800,Gray,Petrol,"10,80",Manual,1998,145,0.0,5,5,4062.98
2505,Jeep,Private person,2019,36000,Silver,Petrol,,Automatic,6417,468,0.0,5,5,81907.45
2506,Skoda,Company,2017,146600,Black,Diesel,,Automatic,1968,150,0.0,5,5,17561.85
2507,Opel,Private person,2007,293000,Black,Diesel,7,,1910,,0.0,5,5,3363.43
2508,Audi,Private person,2019,99999,Black,Petrol,"7,90",,1984,,,5,5,27765.01
