,Make,Seller,YearOfProd,Mileage (km),Color,Fuel,FuelCinCity,Gearbox,EngineVol (cm3),Horsepower,Post-accident,Seats,Doors,Price
228,Honda,Company,2012,139000,Else,Petrol,,Automatic,1997,150,,5,5,14650.11
229,Audi,Company,2010,199000,Black,Diesel,"6,90",Manual,1968,140,,5,5,9006.77
230,Ford,Company,2016,138677,White,Diesel,6,Manual,1997,180,0.0,5,5,19164.79
231,Ford,Private person,2013,156000,Claret,Diesel,5,Manual,1498,75,0.0,5,5,6704.29
232,Nissan,Company,2022,1,White,Petrol,,Automatic,1332,158,0.0,5,5,40553.05
233,BMW,Private person,2010,148533,Gray,Petrol,8,,1995,143,,5,5,4943.57
234,Ford,Company,2013,152000,Else,Diesel,7,Manual,1997,140,0.0,5,5,13521.44
235,Kia,Private person,2012,160000,White,Petrol,,,1591,,,5,5,11106.09
236,Opel,Company,2013,199000,Else,Petrol,,Manual,1364,140,0.0,5,5,10812.64
237,Skoda,Private person,2016,49500,Blue,Petrol,6,Manual,1197,110,0.0,5,5,10045.15
238,BMW,Private person,2011,129000,Gray,Petrol,8,,1995,143,0.0,5,5,6320.54
239,Dacia,Private person,2011,184000,Silver,Diesel,6,Manual,1461,107,,5,5,4040.63
240,Toyota,Private person,2005,244000,Black,Petrol,9,,1794,125,,4,3,5191.87
241,Audi,Company,2022,1,Gray,Diesel,,Automatic,1968,204,0.0,5,5,60451.47
242,Volvo,Company,2023,,Else,Electric,,Automatic,,231,0.0,5,5,52110.61
243,BMW,Private person,2021,31000,White,Diesel,,Automatic,1995,190,0.0,5,5,41241.53
244,Nissan,Company,2021,31760,Blue,Petrol,,Automatic,999,114,,5,5,21196.39
245,Nissan,Company,2022,3,Blue,Hybrid,,Automatic,1497,158,0.0,5,5,39514.67
246,Nissan,Company,2022,3,Else,Hybrid,,Automatic,1497,158,0.0,5,5,45349.89
247,Volkswagen,Company,2018,178000,Gray,Diesel,,Manual,1968,150,0.0,5,5,15778.78
248,Audi,Private person,2017,84900,Black,Petrol,8,,1984,,,5,5,25936.79
249,Volvo,Company,2022,5,Else,Hybrid,,Automatic,1969,235,0.0,7,5,67697.52
250,Audi,Private person,2021,13900,Gray,Petrol,11,Automatic,2995,340,,5,5,71083.52
251,BMW,Company,2021,6001,Green,Petrol,,Automatic,2993,510,0.0,5,,126365.46
252,Suzuki,Company,2022,1,Gray,Hybrid,5,Manual,1373,129,0.0,5,5,21126.41
253,Ford,Private person,2013,20675,White,Petrol,"6,80",,1242,60,,5,3,4266.37
254,Honda,Private person,2014,25700,Brown,Petrol,7,Manual,1798,142,0.0,5,5,11218.96
255,Honda,Private person,2014,189000,Gray,Hybrid,"6,10",Manual,1497,114,0.0,4,3,8329.57
256,Opel,Private person,2016,89400,Silver,Diesel,4,,1598,110,0.0,5,5,8781.04
257,Audi,Private person,2015,186000,Black,Diesel,"4,30",Automatic,1598,110,0.0,5,5,12167.04
258,Opel,Private person,2012,253100,Black,Diesel,6,,1956,130,0.0,7,5,6297.97
259,Volvo,Private person,2014,174000,Black,Diesel,6,Automatic,2400,190,0.0,5,5,19751.69
260,Mercedes-Benz,Company,2020,46639,Gray,Petrol,,Automatic,1332,136,0.0,5,5,27065.46
261,Skoda,Company,2018,166237,Blue,Petrol,,Automatic,1498,150,0.0,5,5,19164.79
262,BMW,Private person,2015,190000,Else,Diesel,6,Automatic,2993,258,0.0,5,5,19187.36
263,Volkswagen,Private person,2017,106438,White,Diesel,,Automatic,1968,150,0.0,5,5,27539.5
264,BMW,Private person,2007,330000,Blue,Diesel,9,Automatic,2993,231,0.0,5,5,8555.3
265,Toyota,Private person,2004,393700,Blue,Diesel,5,,1364,90,,5,3,1783.3
266,Renault,Private person,2010,194000,Else,,,,1461,,,5,5,3047.4
267,BMW,Private person,2017,200000,Blue,Diesel,5,Automatic,1995,190,0.0,5,5,9006.77
268,Renault,Private person,2016,70000,Else,Diesel,4,,1461,,,5,5,7426.64
269,Ford,Private person,2015,117300,Silver,Diesel,6,Automatic,1997,180,,5,5,16681.72
270,Opel,Private person,2016,300000,Else,Diesel,8,,1956,130,,7,5,6771.78
271,Mazda,Private person,2010,202000,Brown,Diesel,9,,2184,,0.0,,5,6749.44
272,BMW,Company,2022,5,Gray,Diesel,"5,20",Automatic,1995,190,0.0,5,5,63182.84
273,Ford,Private person,2013,117000,Blue,Petrol,"5,90",,998,80,0.0,5,3,5620.77
274,Hyundai,Private person,2011,240000,Silver,Diesel,6,Manual,1995,136,0.0,5,5,8803.61
275,Mercedes-Benz,Private person,2006,249800,Black,Diesel,11,Automatic,2987,224,0.0,5,5,11264.11
276,Ford,Private person,2007,175430,Else,Petrol,8,,1299,70,0.0,5,5,2370.2
277,Cupra,Company,2020,2700,White,Petrol,,Automatic,1984,310,0.0,5,5,49638.83
278,BMW,Company,2022,50,White,Diesel,,Automatic,1995,190,0.0,5,5,60925.51
279,Seat,Private person,2018,189000,Gray,Petrol,,Automatic,1984,300,0.0,5,5,20823.93
280,Opel,Private person,2010,115000,Gray,Petrol,8,Manual,1598,105,0.0,5,5,3205.42
281,Toyota,Company,2018,55100,Black,Petrol,,Manual,1496,111,0.0,5,5,12392.78
282,Mercedes-Benz,Private person,2021,28000,Black,Petrol,,Automatic,1991,258,,5,5,43453.72
283,Volkswagen,Company,2018,103000,White,Diesel,,Automatic,2967,231,0.0,5,5,46704.29
284,Audi,Private person,2018,154000,Gray,Diesel,,Manual,1968,190,0.0,5,5,27088.04
285,Audi,Private person,2008,199200,Silver,Diesel,11,Automatic,2967,233,0.0,5,4,7381.49
286,BMW,Private person,2014,182000,Black,Petrol+LPG,"13,20",Automatic,2979,306,,5,5,27065.46
287,Mercedes-Benz,Private person,2017,82500,Blue,Petrol,"11,70",Automatic,3982,612,0.0,5,4,103611.74
288,Mercedes-Benz,Private person,2018,70000,Black,Diesel,5,Automatic,2143,170,0.0,,5,38352.14
289,Peugeot,Private person,2010,315000,White,Diesel,,,1560,90,,5,4,4176.07
